date,booking_inquiries,show_up_rate,completed_visits,returning_inquiries,new_inquiries,primary_outcome_count,primary_outcome_label
2024-01-01,3,0.7717934601862606,2,1,2,2,Completed Visits
2024-01-02,3,0.8405356505026336,3,1,2,3,Completed Visits
2024-01-03,3,0.7812005776962028,2,1,2,2,Completed Visits
2024-01-04,4,0.8043633567234922,3,2,2,3,Completed Visits
2024-01-05,3,0.8352064177331586,3,1,2,3,Completed Visits
2024-01-06,3,0.7948520340791467,2,1,2,2,Completed Visits
2024-01-07,5,0.7958045660311134,4,2,3,4,Completed Visits
2024-01-08,3,0.7997855643397003,2,1,2,2,Completed Visits
2024-01-09,3,0.7256784651642767,2,1,2,2,Completed Visits
2024-01-10,3,0.8916544345654608,3,1,2,3,Completed Visits
2024-01-11,4,0.7609138117459966,3,2,2,3,Completed Visits
2024-01-12,6,0.8649177463608144,5,2,4,5,Completed Visits
2024-01-13,3,0.7525557724577933,2,1,2,2,Completed Visits
2024-01-14,3,0.819186154577169,2,1,2,2,Completed Visits
2024-01-15,4,0.8393453414105767,3,1,3,3,Completed Visits
2024-01-16,4,0.8182383941942046,3,2,2,3,Completed Visits
2024-01-17,3,0.8206583544860195,2,1,2,2,Completed Visits
2024-01-18,5,0.8221184697733436,4,2,3,4,Completed Visits
2024-01-19,3,0.818246571524572,2,1,2,2,Completed Visits
2024-01-20,3,0.7943702182988921,2,1,2,2,Completed Visits
2024-01-21,3,0.8079368276818991,2,1,2,2,Completed Visits
2024-01-22,3,0.8512314620064059,3,1,2,3,Completed Visits
2024-01-23,3,0.7290879141359933,2,1,2,2,Completed Visits
2024-01-24,3,0.7593885220558817,2,1,2,2,Completed Visits
2024-01-25,5,0.7730604550731314,4,2,3,4,Completed Visits
2024-01-26,4,0.8823733427038899,4,2,2,4,Completed Visits
2024-01-27,3,0.6904456313225564,2,1,2,2,Completed Visits
2024-01-28,5,0.7773341127113998,4,2,3,4,Completed Visits
2024-01-29,3,0.80823579540512,2,1,2,2,Completed Visits
2024-01-30,3,0.7951614085717477,2,1,2,2,Completed Visits
2024-01-31,3,0.8152122484100924,2,1,2,2,Completed Visits
2024-02-01,5,0.775470859655541,4,2,3,4,Completed Visits
2024-02-02,2,0.8019829065345362,2,1,1,2,Completed Visits
2024-02-03,4,0.7893394732765129,3,2,2,3,Completed Visits
2024-02-04,4,0.7951812563896493,3,2,2,3,Completed Visits
2024-02-05,3,0.7404292592950557,2,1,2,2,Completed Visits
2024-02-06,2,0.8288911055714417,2,1,1,2,Completed Visits
2024-02-07,3,0.8482456478749816,3,1,2,3,Completed Visits
2024-02-08,2,0.7462171675750098,1,1,1,1,Completed Visits
2024-02-09,3,0.8480008044657498,3,1,2,3,Completed Visits
2024-02-10,3,0.8172408591934531,2,1,2,2,Completed Visits
2024-02-11,3,0.9097630999098674,3,1,2,3,Completed Visits
2024-02-12,3,0.7807966778172362,2,1,2,2,Completed Visits
2024-02-13,3,0.7835782087380985,2,1,2,2,Completed Visits
2024-02-14,5,0.8124481248059263,4,2,3,4,Completed Visits
2024-02-15,2,0.8336927172546512,2,1,1,2,Completed Visits
2024-02-16,2,0.84027998185513,2,1,1,2,Completed Visits
2024-02-17,3,0.84897570825234,3,1,2,3,Completed Visits
2024-02-18,2,0.7557886172508584,2,1,1,2,Completed Visits
