date,ad_revenue,sponsorship_revenue,est_monetization,primary_outcome_count,primary_outcome_label
2024-01-01,1453.18,0.0,1453.18,1453.18,Est. Revenue
2024-01-02,1031.75,0.0,1031.75,1031.75,Est. Revenue
2024-01-03,1308.79,0.0,1308.79,1308.79,Est. Revenue
2024-01-04,1858.21,0.0,1858.21,1858.21,Est. Revenue
2024-01-05,1411.01,8208.25,9619.26,9619.26,Est. Revenue
2024-01-06,532.45,0.0,532.45,532.45,Est. Revenue
2024-01-07,1206.31,0.0,1206.31,1206.31,Est. Revenue
2024-01-08,466.97,0.0,466.97,466.97,Est. Revenue
2024-01-09,386.18,0.0,386.18,386.18,Est. Revenue
2024-01-10,1697.6,0.0,1697.6,1697.6,Est. Revenue
2024-01-11,1863.26,0.0,1863.26,1863.26,Est. Revenue
2024-01-12,1992.55,0.0,1992.55,1992.55,Est. Revenue
2024-01-13,1609.61,0.0,1609.61,1609.61,Est. Revenue
2024-01-14,655.39,13812.65,14468.04,14468.04,Est. Revenue
2024-01-15,2202.01,0.0,2202.01,2202.01,Est. Revenue
2024-01-16,2224.62,0.0,2224.62,2224.62,Est. Revenue
2024-01-17,1267.68,0.0,1267.68,1267.68,Est. Revenue
2024-01-18,2513.08,0.0,2513.08,2513.08,Est. Revenue
2024-01-19,560.69,0.0,560.69,560.69,Est. Revenue
2024-01-20,1497.68,0.0,1497.68,1497.68,Est. Revenue
2024-01-21,637.9,13438.56,14076.46,14076.46,Est. Revenue
2024-01-22,2302.94,0.0,2302.94,2302.94,Est. Revenue
2024-01-23,1780.4,0.0,1780.4,1780.4,Est. Revenue
2024-01-24,1472.24,0.0,1472.24,1472.24,Est. Revenue
2024-01-25,1481.84,0.0,1481.84,1481.84,Est. Revenue
2024-01-26,1923.6,18461.74,20385.34,20385.34,Est. Revenue
2024-01-27,0.0,0.0,0.0,0.0,Est. Revenue
2024-01-28,513.72,0.0,513.72,513.72,Est. Revenue
2024-01-29,1267.63,0.0,1267.63,1267.63,Est. Revenue
2024-01-30,1441.34,19548.86,20990.2,20990.2,Est. Revenue
2024-01-31,1722.92,0.0,1722.92,1722.92,Est. Revenue
2024-02-01,1645.97,0.0,1645.97,1645.97,Est. Revenue
2024-02-02,0.0,0.0,0.0,0.0,Est. Revenue
2024-02-03,1591.9,0.0,1591.9,1591.9,Est. Revenue
2024-02-04,1765.84,0.0,1765.84,1765.84,Est. Revenue
2024-02-05,2522.06,0.0,2522.06,2522.06,Est. Revenue
2024-02-06,1243.18,27517.24,28760.42,28760.42,Est. Revenue
2024-02-07,311.89,0.0,311.89,311.89,Est. Revenue
2024-02-08,340.53,0.0,340.53,340.53,Est. Revenue
