date,client,platform,followers,reach,likes,comments,shares,saves,total_engagements,engagement_rate
2024-01-05,chiropractor,facebook,33366,8528,130,22,18,17,187,0.022
2024-01-12,chiropractor,facebook,33132,12538,257,44,36,31,368,0.0294
2024-01-16,chiropractor,facebook,33422,15950,253,43,36,30,362,0.0227
2024-01-26,chiropractor,facebook,33382,6082,168,28,24,20,240,0.0396
2024-01-28,chiropractor,facebook,33298,13607,315,54,45,36,450,0.0331
2024-02-04,chiropractor,facebook,33495,10243,211,36,30,25,302,0.0295
2024-02-05,chiropractor,facebook,33476,6610,162,27,23,20,232,0.0351
2024-02-17,chiropractor,facebook,33486,4013,72,12,10,9,103,0.0257
2024-02-20,chiropractor,facebook,33576,9150,226,38,32,27,323,0.0354
2024-02-24,chiropractor,facebook,33561,9801,168,28,24,21,241,0.0246
2024-03-01,chiropractor,facebook,33656,3728,95,16,13,13,137,0.037
2024-03-02,chiropractor,facebook,33719,6974,186,32,26,23,267,0.0384
2024-03-07,chiropractor,facebook,33850,11340,291,50,41,35,417,0.0368
2024-03-13,chiropractor,facebook,33610,10390,150,25,21,19,215,0.0207
2024-03-16,chiropractor,facebook,33974,4981,124,21,17,16,178,0.0358
2024-03-19,chiropractor,facebook,33583,10742,262,45,37,31,375,0.035
2024-03-23,chiropractor,facebook,33795,3774,67,11,9,10,97,0.0258
2024-03-27,chiropractor,facebook,33901,8864,161,27,23,19,230,0.026
2024-03-28,chiropractor,facebook,33877,6531,176,30,25,21,252,0.0386
2024-04-06,chiropractor,facebook,33853,9766,198,34,28,24,284,0.0291
2024-04-09,chiropractor,facebook,33918,12305,262,45,37,31,375,0.0305
2024-04-18,chiropractor,facebook,33956,8884,140,24,20,17,201,0.0227
2024-04-21,chiropractor,facebook,33969,11956,212,36,30,26,304,0.0255
2024-04-23,chiropractor,facebook,34131,11286,210,36,30,24,300,0.0266
2024-04-24,chiropractor,facebook,34088,11169,257,44,36,31,368,0.033
2024-05-01,chiropractor,facebook,34034,7438,105,18,15,12,150,0.0203
2024-05-08,chiropractor,facebook,34250,11004,199,34,28,24,285,0.0259
2024-05-11,chiropractor,facebook,34212,10365,172,29,24,22,247,0.0239
2024-05-14,chiropractor,facebook,34286,8284,189,32,27,23,271,0.0328
2024-05-15,chiropractor,facebook,34275,7484,149,25,21,19,214,0.0286
2024-05-22,chiropractor,facebook,34178,5023,98,16,14,12,140,0.028
2024-05-30,chiropractor,facebook,34266,8662,240,41,34,28,343,0.0396
2024-06-05,chiropractor,facebook,34446,3938,106,18,15,13,152,0.0387
2024-06-11,chiropractor,facebook,34477,8061,156,26,22,19,223,0.0277
2024-06-16,chiropractor,facebook,34449,6911,121,20,17,16,174,0.0253
2024-06-17,chiropractor,facebook,34471,9222,203,34,29,25,291,0.0316
2024-06-27,chiropractor,facebook,34667,7240,127,21,18,16,182,0.0252
2024-06-28,chiropractor,facebook,34481,10124,175,30,25,20,250,0.0247
2024-07-02,chiropractor,facebook,34629,5329,109,18,15,14,156,0.0293
2024-07-07,chiropractor,facebook,34589,12585,296,50,42,36,424,0.0337
2024-07-12,chiropractor,facebook,34625,11138,294,50,42,35,421,0.0378
2024-07-13,chiropractor,facebook,34769,9931,234,40,33,28,335,0.0338
2024-07-16,chiropractor,facebook,34763,7337,198,34,28,24,284,0.0388
