date,baseline_sessions,social_sessions,direct_sessions,search_sessions,other_sessions,total_sessions,new_sessions,returning_sessions,non_social_conversion_rate,social_conversion_rate,orders,aov,revenue,primary_outcome_count,primary_outcome_label,orders_expected_baseline,orders_shortfall
2024-01-01,638,290,145,372,121,928,655,273,0.02050590084617217,0.046721941730894806,27,72.52,1958.04,27,Orders,27,0
2024-01-02,567,145,178,308,81,712,490,222,0.014802537197157205,0.04476357218617356,15,75.75,1136.25,15,Orders,15,0
2024-01-03,625,515,204,292,129,1140,827,313,0.02170582470595129,0.04963635924395844,39,66.12,2578.68,39,Orders,39,0
2024-01-04,683,529,219,319,145,1212,917,295,0.020001261787844872,0.040552804530828386,35,82.23,2878.05,35,Orders,35,0
2024-01-05,580,416,176,248,156,996,706,290,0.023913539561402186,0.03164778172161276,27,70.1,1892.7,27,Orders,27,0
2024-01-06,646,287,210,297,139,933,664,269,0.022435009901328823,0.05261820726080184,30,66.11,1983.3,30,Orders,30,0
2024-01-07,609,105,155,352,102,714,511,203,0.014274660230745907,0.026205122512220676,11,72.06,792.66,11,Orders,11,0
2024-01-08,678,33,228,304,146,711,499,212,0.016973021352999537,0.03653876415151228,13,57.28,744.64,13,Orders,13,0
2024-01-09,614,379,189,311,114,993,724,269,0.01870769857011607,0.041277071353755156,27,74.82,2020.14,27,Orders,27,0
2024-01-10,609,264,198,300,111,873,629,244,0.02280398505748637,0.04322408881140875,25,73.8,1845.0,25,Orders,25,0
2024-01-11,682,169,211,316,155,851,602,249,0.022058787951077966,0.032891244443055266,21,78.0,1638.0,21,Orders,21,0
2024-01-12,671,37,218,345,108,708,510,198,0.02253379190385563,0.03314868380820923,16,75.64,1210.24,16,Orders,16,0
2024-01-13,619,161,181,328,110,780,556,224,0.021884830348313452,0.052828986627249636,22,72.67,1598.74,22,Orders,22,0
2024-01-14,567,394,173,281,113,961,709,252,0.016597382138722253,0.032435255658753506,22,67.21,1478.62,22,Orders,22,0
2024-01-15,578,296,186,271,121,874,654,220,0.015901602335737477,0.047958822409744896,23,66.51,1529.73,23,Orders,23,0
2024-01-16,645,129,202,340,103,774,550,224,0.024932124574928372,0.033127418559815956,20,77.98,1559.6,20,Orders,20,0
2024-01-17,646,84,180,329,137,730,499,231,0.01229814737247471,0.04497185867153425,12,77.38,928.56,12,Orders,12,0
2024-01-18,586,279,140,306,140,865,608,257,0.01549201330798563,0.06154680128939268,26,72.81,1893.06,26,Orders,26,0
2024-01-19,672,355,205,354,113,1027,730,297,0.021547732569569884,0.04803402834527422,32,79.04,2529.28,32,Orders,32,0
2024-01-20,649,246,189,331,129,895,619,276,0.016665173586304722,0.05656707305266736,25,83.74,2093.5,25,Orders,25,0
2024-01-21,615,336,190,284,141,951,669,282,0.016220340860956636,0.04142462901162387,24,73.76,1770.24,24,Orders,24,0
2024-01-22,628,326,222,332,74,954,681,273,0.014643269935767152,0.04826229169594533,25,72.22,1805.5,25,Orders,25,0
2024-01-23,639,262,188,300,151,901,652,249,0.02264396360316375,0.05164365374761048,28,68.68,1923.04,28,Orders,28,0
2024-01-24,614,456,190,288,136,1070,751,319,0.01099462755031164,0.040512741385426085,25,71.12,1778.0,25,Orders,25,0
2024-01-25,656,205,172,339,145,861,617,244,0.019533330491410355,0.04073839767077286,21,66.03,1386.63,21,Orders,21,0
2024-01-26,628,248,161,333,134,876,635,241,0.020171476905501903,0.03893043832334707,22,81.76,1798.72,22,Orders,22,0
2024-01-27,629,79,207,320,102,708,483,225,0.017437487186000453,0.02765257149544499,13,81.52,1059.76,13,Orders,13,0
2024-01-28,664,40,190,300,174,704,473,231,0.020645369925065413,0.04913654890840035,16,84.31,1348.96,16,Orders,16,0
