date,client,platform,followers,reach,likes,comments,shares,saves,total_engagements,engagement_rate
2024-01-07,chiropractor,instagram,33263,7949,270,46,38,32,386,0.0486
2024-01-11,chiropractor,instagram,33260,8595,303,51,43,36,433,0.0504
2024-01-16,chiropractor,instagram,33114,13773,577,99,82,67,825,0.0599
2024-01-18,chiropractor,instagram,33318,5400,235,40,33,28,336,0.0624
2024-01-25,chiropractor,instagram,33379,11884,288,49,41,34,412,0.0347
2024-01-28,chiropractor,instagram,33643,12063,373,63,53,44,533,0.0442
2024-02-01,chiropractor,instagram,33407,13225,581,99,83,67,830,0.0628
2024-02-03,chiropractor,instagram,33472,7241,373,63,53,44,533,0.0737
2024-02-07,chiropractor,instagram,33468,5077,210,36,30,24,300,0.0591
2024-02-14,chiropractor,instagram,33407,12037,399,68,57,47,571,0.0475
2024-02-17,chiropractor,instagram,33662,6958,315,54,45,37,451,0.0649
2024-02-20,chiropractor,instagram,33645,11658,487,83,69,58,697,0.0598
2024-02-21,chiropractor,instagram,33657,6752,214,36,30,27,307,0.0455
2024-02-26,chiropractor,instagram,33523,10384,505,86,72,59,722,0.0696
2024-03-03,chiropractor,instagram,33802,10489,466,79,66,55,666,0.0635
2024-03-04,chiropractor,instagram,33526,9174,429,73,61,50,613,0.0669
2024-03-11,chiropractor,instagram,33780,8844,347,59,49,42,497,0.0563
2024-03-16,chiropractor,instagram,33980,6473,231,39,33,28,331,0.0512
2024-03-19,chiropractor,instagram,33680,4914,165,28,23,20,236,0.0481
2024-03-24,chiropractor,instagram,33761,11670,331,56,47,40,474,0.0407
2024-03-29,chiropractor,instagram,33866,5599,212,36,30,26,304,0.0543
2024-04-01,chiropractor,instagram,33827,4339,112,19,16,13,160,0.0369
2024-04-06,chiropractor,instagram,33758,4686,236,40,33,29,338,0.0722
2024-04-10,chiropractor,instagram,33953,11856,568,97,81,66,812,0.0685
2024-04-13,chiropractor,instagram,33861,4238,219,37,31,27,314,0.0742
2024-04-20,chiropractor,instagram,34070,11546,378,64,54,44,540,0.0468
2024-04-21,chiropractor,instagram,33935,7674,196,33,28,23,280,0.0366
2024-04-24,chiropractor,instagram,34210,12339,329,56,47,38,470,0.0381
2024-04-29,chiropractor,instagram,34009,12153,583,99,83,68,833,0.0686
2024-05-01,chiropractor,instagram,34072,8463,226,38,32,28,324,0.0383
2024-05-07,chiropractor,instagram,34233,11008,388,66,55,46,555,0.0505
2024-05-13,chiropractor,instagram,34069,8625,252,43,36,30,361,0.0419
2024-05-14,chiropractor,instagram,34226,11791,364,62,52,43,521,0.0442
2024-05-24,chiropractor,instagram,34412,9478,347,59,49,41,496,0.0524
