date,client,platform,followers,reach,likes,comments,shares,saves,total_engagements,engagement_rate
2024-01-01,aesthetician,tiktok,469168,67196,4962,850,708,569,7089,0.1055
2024-01-03,aesthetician,tiktok,466248,127005,9583,1642,1369,1097,13691,0.1078
2024-01-04,aesthetician,tiktok,466870,152626,9647,1653,1378,1104,13782,0.0903
2024-01-05,aesthetician,tiktok,468320,82001,5263,902,751,603,7519,0.0917
2024-01-09,aesthetician,tiktok,469438,114575,8115,1391,1159,929,11594,0.1012
2024-01-10,aesthetician,tiktok,469813,53549,2079,356,297,239,2971,0.0555
2024-01-13,aesthetician,tiktok,469824,87849,6395,1096,913,732,9136,0.104
2024-01-14,aesthetician,tiktok,467576,95445,7161,1227,1023,820,10231,0.1072
2024-01-18,aesthetician,tiktok,472527,150001,11623,1992,1660,1330,16605,0.1107
2024-01-19,aesthetician,tiktok,468865,123402,5692,975,813,652,8132,0.0659
2024-01-20,aesthetician,tiktok,471170,48463,3127,536,446,359,4468,0.0922
2024-01-21,aesthetician,tiktok,469936,91929,6717,1151,959,770,9597,0.1044
2024-01-22,aesthetician,tiktok,471171,51967,2593,444,370,298,3705,0.0713
2024-01-23,aesthetician,tiktok,471986,64848,3985,683,569,456,5693,0.0878
2024-01-24,aesthetician,tiktok,472236,73290,4370,749,624,501,6244,0.0852
2024-01-31,aesthetician,tiktok,474198,134148,5023,861,717,575,7176,0.0535
2024-02-03,aesthetician,tiktok,476674,100771,5466,937,780,626,7809,0.0775
2024-02-04,aesthetician,tiktok,475283,107500,6899,1182,985,791,9857,0.0917
2024-02-07,aesthetician,tiktok,475068,81922,3755,643,536,431,5365,0.0655
2024-02-08,aesthetician,tiktok,477051,63470,3447,591,492,395,4925,0.0776
2024-02-09,aesthetician,tiktok,477633,115997,4530,776,647,519,6472,0.0558
2024-02-10,aesthetician,tiktok,474441,94791,3549,608,507,407,5071,0.0535
2024-02-14,aesthetician,tiktok,478089,107787,4225,724,603,484,6036,0.056
2024-02-15,aesthetician,tiktok,478497,63445,4627,793,661,529,6610,0.1042
2024-02-16,aesthetician,tiktok,477326,114487,4760,816,680,544,6800,0.0594
2024-02-18,aesthetician,tiktok,480246,126464,7453,1277,1064,854,10648,0.0842
2024-02-19,aesthetician,tiktok,478316,121710,5426,930,775,621,7752,0.0637
2024-02-20,aesthetician,tiktok,478971,77596,5512,945,787,631,7875,0.1015
2024-02-24,aesthetician,tiktok,479580,142253,5476,938,782,627,7823,0.055
2024-02-25,aesthetician,tiktok,480112,160518,8157,1398,1165,933,11653,0.0726
2024-02-26,aesthetician,tiktok,478769,129794,5114,876,730,587,7307,0.0563
2024-02-28,aesthetician,tiktok,478791,90983,5069,869,724,580,7242,0.0796
2024-03-02,aesthetician,tiktok,483951,122924,6237,1069,891,714,8911,0.0725
2024-03-04,aesthetician,tiktok,480941,87015,3148,539,449,362,4498,0.0517
2024-03-05,aesthetician,tiktok,480991,125755,10483,1797,1497,1200,14977,0.1191
2024-03-07,aesthetician,tiktok,479825,104432,8720,1494,1245,999,12458,0.1193
2024-03-11,aesthetician,tiktok,483056,56006,2359,404,337,271,3371,0.0602
2024-03-14,aesthetician,tiktok,482838,75881,5699,977,814,652,8142,0.1073
2024-03-15,aesthetician,tiktok,487411,148126,7900,1354,1128,905,11287,0.0762
2024-03-18,aesthetician,tiktok,487273,65830,5054,866,722,579,7221,0.1097
2024-03-21,aesthetician,tiktok,485575,173407,6530,1119,932,748,9329,0.0538
2024-03-22,aesthetician,tiktok,490129,164838,13257,2272,1893,1517,18939,0.1149
2024-03-25,aesthetician,tiktok,489055,53832,4046,693,578,464,5781,0.1074
2024-03-27,aesthetician,tiktok,487662,66494,4589,786,655,526,6556,0.0986
2024-03-29,aesthetician,tiktok,484993,54813,3126,536,446,359,4467,0.0815
2024-04-01,aesthetician,tiktok,492800,124047,5609,961,801,642,8013,0.0646
