date,client,platform,followers,reach,likes,comments,shares,saves,total_engagements,engagement_rate
2024-01-05,real_estate_agent,youtube,14501,2247,70,12,10,9,101,0.0453
2024-01-11,real_estate_agent,youtube,14491,3555,109,18,15,15,157,0.0442
2024-01-12,real_estate_agent,youtube,14518,2303,65,11,9,9,94,0.041
2024-01-17,real_estate_agent,youtube,14572,2770,69,11,9,10,99,0.0359
2024-01-23,real_estate_agent,youtube,14610,2869,109,18,15,14,156,0.0547
2024-01-27,real_estate_agent,youtube,14550,3499,121,20,17,16,174,0.05
2024-01-30,real_estate_agent,youtube,14640,1338,45,7,6,7,65,0.0492
2024-02-08,real_estate_agent,youtube,14693,2257,71,12,10,9,102,0.0453
2024-02-15,real_estate_agent,youtube,14676,3294,128,21,18,16,183,0.0557
2024-02-21,real_estate_agent,youtube,14762,4185,116,20,16,15,167,0.04
2024-02-26,real_estate_agent,youtube,14663,1438,51,8,7,8,74,0.0517
2024-03-09,real_estate_agent,youtube,14685,5199,164,28,23,20,235,0.0453
2024-03-16,real_estate_agent,youtube,14686,5868,201,34,28,25,288,0.0492
2024-03-19,real_estate_agent,youtube,14842,4875,149,25,21,18,213,0.0438
2024-03-27,real_estate_agent,youtube,14833,3420,102,17,14,13,146,0.0429
2024-03-29,real_estate_agent,youtube,14809,5088,109,18,15,15,157,0.031
2024-04-02,real_estate_agent,youtube,14838,6212,135,23,19,16,193,0.0312
2024-04-03,real_estate_agent,youtube,14779,6183,177,30,25,22,254,0.0412
2024-04-13,real_estate_agent,youtube,14973,3960,135,23,19,16,193,0.0489
2024-04-15,real_estate_agent,youtube,14877,3294,122,21,17,15,175,0.0534
2024-04-20,real_estate_agent,youtube,14894,3397,86,14,12,11,123,0.0364
2024-04-24,real_estate_agent,youtube,14936,4932,136,23,19,17,195,0.0396
2024-05-01,real_estate_agent,youtube,14950,6062,261,44,37,31,373,0.0616
2024-05-03,real_estate_agent,youtube,14945,7201,305,52,43,36,436,0.0606
2024-05-08,real_estate_agent,youtube,14918,7416,275,47,39,32,393,0.053
2024-05-16,real_estate_agent,youtube,15003,7269,230,39,33,28,330,0.0455
2024-05-22,real_estate_agent,youtube,15088,3166,154,26,22,18,220,0.0697
2024-05-24,real_estate_agent,youtube,15070,3969,109,18,15,14,156,0.0395
2024-05-30,real_estate_agent,youtube,15103,4241,176,30,25,21,252,0.0595
2024-06-05,real_estate_agent,youtube,15029,6182,231,39,33,28,331,0.0537
2024-06-12,real_estate_agent,youtube,15033,5451,168,28,24,20,240,0.0441
2024-06-21,real_estate_agent,youtube,15104,7621,190,32,27,23,272,0.0357
2024-06-25,real_estate_agent,youtube,15126,6828,303,51,43,36,433,0.0635
2024-07-01,real_estate_agent,youtube,15195,5300,254,43,36,31,364,0.0688
2024-07-09,real_estate_agent,youtube,15096,2418,62,10,8,9,89,0.037
2024-07-18,real_estate_agent,youtube,15275,5519,123,21,17,16,177,0.0322
2024-07-23,real_estate_agent,youtube,15216,4778,102,17,14,14,147,0.0308
2024-07-25,real_estate_agent,youtube,15211,5496,165,28,23,21,237,0.0433
2024-08-04,real_estate_agent,youtube,15219,3930,170,29,24,21,244,0.0623
2024-08-09,real_estate_agent,youtube,15207,6288,163,27,23,20,233,0.0371
2024-08-13,real_estate_agent,youtube,15335,2393,107,18,15,14,154,0.0647
2024-08-14,real_estate_agent,youtube,15304,5725,143,24,20,18,205,0.0359
2024-08-22,real_estate_agent,youtube,15270,2531,62,10,9,9,90,0.0357
2024-08-26,real_estate_agent,youtube,15284,3672,130,22,18,17,187,0.0511
2024-08-28,real_estate_agent,youtube,15335,5228,120,20,17,15,172,0.0329
2024-09-02,real_estate_agent,youtube,15446,4494,177,30,25,21,253,0.0565
2024-09-06,real_estate_agent,youtube,15371,3172,95,16,13,13,137,0.0435
2024-09-10,real_estate_agent,youtube,15328,4835,233,39,33,28,333,0.069
2024-09-22,real_estate_agent,youtube,15428,4409,146,25,20,18,209,0.0475
